run_id,db_name,runtime,sample,trim_clip,trim_head,trim_lead,trim_crop,trim_sliding_win,trim_trail,trim_min_len,trim_paired,trim_both,trim_fw_only,trim_rev_only,trim_dropped,bt_prefix,bt_mode,bt_sensitivity,bt_mixed,bt_discordant,bt_paired,bt_conc_0,bt_conc_1,bt_conc_more,kraken2_min_hits,kraken2_total,kraken2_classified,kraken2_unclassified,bracken_thresh,bracken_species,bracken_species_above_thresh,bracken_species_below_thresh,bracken_kept,bracken_discarded,bracken_redistributed,bracken_not_redistributed,bracken_total,preqc_avg_len_r1,preqc_med_len_r1,preqc_avg_len_r2,preqc_med_len_r2,postqc_avg_len_r1,postqc_med_len_r1,postqc_avg_len_r2,postqc_med_len_r2,bt_avg_r1,bt_med_r1,bt_avg_r2,bt_med_r2,clas_avg_r1,clas_med_r1,clas_avg_r2,clas_med_r2,unclas_avg_r1,unclas_avg_r2,unclas_med_r1,unclas_med_r2
run_1506_1837,k2_standard_16gb_20250402,00:03:34,D1RP_S9,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,140875,125352,1938,237,13348,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,125352,124006,1302,44,10,124006,8209,115797,0,34,34,0,7947,0,252,10,8199,131.8,137.0,132.4,138.0,133.3,140.0,130.9,135.0,132.8,138.0,130.4,133.0,174.4,194.0,172.5,193.0,129.8,131.0,127.4,127.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,D1SG_S1,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,191061,157991,1668,376,31026,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,157991,155364,2030,597,10,155364,6371,148993,0,733,733,0,5471,0,866,34,6337,137.0,147.0,137.0,147.0,129.8,131.0,128.2,129.0,129.0,130.0,127.3,128.0,162.7,172.0,161.6,170.0,127.5,127.0,125.9,125.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,D2RP_S10,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,146709,127020,1821,234,17634,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,127020,122720,4108,192,10,122720,56521,66199,0,19,19,0,55880,0,636,5,56516,128.3,132.0,128.0,131.0,131.7,137.0,129.5,132.0,129.6,132.0,127.5,129.0,171.3,194.0,168.7,192.0,94.0,80.0,92.2,79.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,D2SG_S2,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,141535,32665,570,781,107519,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,32665,27649,3793,1223,10,27649,8380,19269,0,132,132,0,8108,0,259,13,8367,150.3,199.0,150.6,199.0,119.2,113.0,118.5,113.0,108.7,102.0,108.3,101.0,150.7,153.0,150.1,152.0,90.4,80.0,90.1,80.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,L1RP_S13,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,193020,164765,2039,334,25882,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,164765,164179,581,5,10,164179,1117,163062,0,13,13,0,1058,0,59,0,1117,124.4,123.0,124.8,124.0,129.6,132.0,128.5,130.0,129.4,132.0,128.3,130.0,166.9,177.0,163.7,173.0,129.2,131.0,128.1,129.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,L1SG_S5,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,70858,46441,665,233,23519,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,46441,46411,22,8,10,46411,448,45963,0,126,126,0,332,0,98,18,430,141.2,162.0,141.4,163.0,120.9,116.0,119.8,115.0,120.8,116.0,119.8,115.0,159.2,163.0,158.7,161.0,120.4,115.0,119.4,114.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,L2RP_S14,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,164375,129476,1139,331,33429,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,129476,129193,260,23,10,129193,14603,114590,0,10,10,0,10474,0,4129,0,14603,107.6,92.0,108.2,93.0,117.4,108.0,117.0,108.0,117.3,108.0,116.9,107.0,167.6,193.0,166.9,192.0,110.9,97.0,110.6,97.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,L2SG_S6,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,24126,10181,119,94,13732,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,10181,10131,40,10,10,10131,207,9924,0,37,37,0,173,0,29,5,202,158.8,199.0,159.0,199.0,121.0,117.0,120.5,116.0,120.7,116.0,120.3,116.0,154.5,150.0,154.4,150.0,120.0,114.0,119.6,114.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,S1RP_S11,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,151534,133184,1601,259,16490,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,133184,133184,0,0,10,133184,69,133115,0,3,3,0,61,0,7,1,68,128.6,131.0,128.1,130.0,130.7,135.0,129.1,132.0,130.7,135.0,129.1,132.0,170.2,194.0,168.1,190.0,130.6,135.0,129.1,131.0
run_1506_1837,k2_standard_16gb_20250402,00:03:34,S1SG_S3,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,43836,7189,223,300,36124,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,7189,7003,138,48,10,7003,510,6493,0,75,75,0,414,0,82,14,496,174.4,199.0,175.0,199.0,115.4,109.0,114.4,108.0,114.0,107.0,113.0,107.0,154.9,157.0,154.4,156.0,110.8,102.0,109.8,101.0
